id,name,sex,party,episode,type
jp,Jens Spahn,1,CDU,11,politician
kh,Kristin Helberg,2,,11,expert
gk,Gerald Knaus,1,,11,expert
ww,Wolfram Weimer,1,,11,expert
jv,Johannes Vogel,1,FDP,10,politician
bo,Belit Onay,1,Die Gruenen,10,politician
ts,Tanja Schweiger,2,Freie Waehler,10,politician
ms,Matthias Schimpf,1,,10,official
nr,Norbert Roettgen,1,CDU,9,politician
vm,Veit Medick,1,,9,journalist
ca,Cigdem Akyol,2,,9,journalist
mt,Michael Thumann,1,,9,journalist
kp,Karin Prien,2,CDU,4,politician
eq,Eva Quadbeck,2,,4,journalist
sm,Silke Müller,2,,4,expert
fo,Frederick Obermaier,1,,4,journalist
gs,Gazelle Sharmahd,2,,3,activist
huh,Hubertus Heil,1,,3,expert
sl,Sascha Lobo,1,,3,journalist
sa,Sonja Alvarez,2,,3,journalist
ms,Markus Soeder,1,CDU,2,politician
kd,Kristina Dunz,2,,2,journalist
mf,Marcel Fratzscher,1,,2,expert
